"LICENSE","DBA","LOCATION ADDRESS","COUNTY","PHONE","Location 1"
"BC00063","OGDEN GATEWAY CENTER","4282 S 1650 W","WEBER","801-627-4100","4282 S 1650 W OGDEN UT 84405 (41.18466022200005, -112.01762149299998)"
"BE01768","RGO RESTAURANTS @ SOUTH MOUNTAIN GOLF COURSE","1247 E MIKE WEIR DR","SALT LAKE","801-495-3938","1247 E MIKE WEIR DR DRAPER UT 84020 (40.487639983000065, -111.85778233799999)"
"RE01552","IGGY'S SPORTS GRILL (SANDY)","10631 S HOLIDAY PARK DR","SALT LAKE","801-495-1885","10631 S HOLIDAY PARK DR SANDY UT 84070 (40.55787192200006, -111.89567667999995)"
"RE02030","BUFFALO WILD WINGS GRILL & BAR (LEHI)","92 N 1200 E","UTAH","801-766-8402","92 N 1200 E LEHI UT 84043 (40.38931171100006, -111.82668261699996)"
"RE02319","50 WEST","50 W 300 S","SALT LAKE","801-725-1699","50 W 300 S SALT LAKE CITY UT 84101 (40.76292853700005, -111.89258049899996)"
"CL00549","MURPHY'S BAR & GRILL","160 S MAIN","SALT LAKE","801-359-7271","160 S MAIN SALT LAKE CITY UT 84101 (40.765651379000076, -111.89120697899995)"
"CL01168","SLATE LOUNGE @ PROVO MARRIOTT","101 W 100 N","UTAH","801-370-3557","101 W 100 N PROVO UT 84601 (40.23509757200003, -111.66062673999994)"
"CL01227","GRAND SUMMIT HOTEL/FARM LOUNGE","4000 CANYONS RESORT DR","SUMMIT","435-615-8061","4000 CANYONS RESORT DR PARK CITY UT 84098 (40.684057186000075, -111.55369225999999)"
"RL00916","ANTICA FORMA","251 E MAIN","UINTAH","435-790-4374","251 E MAIN VERNAL UT 84078 (40.45580130500008, -109.52389120999999)"
"BE02558","VALLEY BOWLING LANES","3951 W 5400 S","SALT LAKE","801-966-0197","3951 W 5400 S SALT LAKE CITY UT 84118 (40.653033384000025, -111.98552231099995)"
"CL00784","RENEGADE LOUNGE","30 N MAIN ST","BEAVER","435-438-2995","30 N MAIN ST BEAVER UT 84713 (38.27461140100007, -112.64117810799996)"
