LICENSE,DBA,LOCATION.ADDRESS,COUNTY,PHONE,category,sells_liquor,Latitude,Longitude
BC00063,OGDEN GATEWAY CENTER,4282 S 1650 W,WEBER,801-627-4100,Other,FALSE,41.18466022200005,-112.01762149299998
BE01768,RGO RESTAURANTS @ SOUTH MOUNTAIN GOLF COURSE,1247 E MIKE WEIR DR,SALT LAKE,801-495-3938,Banquet / Event,FALSE,40.487639983000065,-111.85778233799999
RE01552,IGGY'S SPORTS GRILL (SANDY),10631 S HOLIDAY PARK DR,SALT LAKE,801-495-1885,Restaurant,TRUE,40.55787192200006,-111.89567667999995
RE02030,BUFFALO WILD WINGS GRILL & BAR (LEHI),92 N 1200 E,UTAH,801-766-8402,Restaurant,TRUE,40.38931171100006,-111.82668261699996
RE02319,50 WEST,50 W 300 S,SALT LAKE,801-725-1699,Restaurant,TRUE,40.76292853700005,-111.89258049899996
CL00549,MURPHY'S BAR & GRILL,160 S MAIN,SALT LAKE,801-359-7271,Bar / Club,TRUE,40.765651379000076,-111.89120697899995
CL01168,SLATE LOUNGE @ PROVO MARRIOTT,101 W 100 N,UTAH,801-370-3557,Bar / Club,TRUE,40.23509757200003,-111.66062673999994
CL01227,GRAND SUMMIT HOTEL/FARM LOUNGE,4000 CANYONS RESORT DR,SUMMIT,435-615-8061,Bar / Club,TRUE,40.684057186000075,-111.55369225999999
RL00916,ANTICA FORMA,251 E MAIN,UINTAH,435-790-4374,Restaurant,TRUE,40.45580130500008,-109.52389120999999
BE02558,VALLEY BOWLING LANES,3951 W 5400 S,SALT LAKE,801-966-0197,Banquet / Event,FALSE,40.653033384000025,-111.98552231099995
CL00784,RENEGADE LOUNGE,30 N MAIN ST,BEAVER,435-438-2995,Bar / Club,TRUE,38.27461140100007,-112.64117810799996
RE01663,RED ROBIN (WEST VALLEY) #414,3601 S 2700 W,SALT LAKE,801-964-2354,Restaurant,TRUE,40.694067791000066,-111.95785344899997
RE00100,LITTLE AMERICA RESTAURANT/COFFEE SHOP/PETIT CAFE,500 S MAIN ST,SALT LAKE,801-363-6781,Restaurant,TRUE,40.758061299000076,-111.891247309
CL01181,BONE YARD,1251 KEARNS BLVD,SUMMIT,435-731-0033,Bar / Club,TRUE,40.66155308800006,-111.50412671099997
RL00081,SUN LOK YUEN,615 N MAIN,TOOELE,435-882-3003,Restaurant,TRUE,40.542921066000076,-112.29837612899996
BE01759,CEDAR BOWLING CENTER,421 E HWY 91,IRON,435-586-1383,Banquet / Event,FALSE,37.628408611000054,-113.12474335899998
RE01223,JOE'S CRAB SHACK (SANDY),65 E 9400 S,SALT LAKE,801-255-9571,Restaurant,TRUE,40.58061664500008,-111.88894898199999
CL01247,VERTIGO,536 W 100 S,SALT LAKE,801-528-9197,Bar / Club,TRUE,40.76718852300007,-111.90718106199995
RE01965,BUONA VITA CUCINA (P.C.),804 MAIN ST,SUMMIT,435-649-1336,Restaurant,TRUE,40.647609325000076,-111.49824431199994
RL00802,BARISTAS RESTAURANT,460 W STATE ST,WASHINGTON,1-435-467-1900,Restaurant,TRUE,37.17656776800004,-113.29644115499997
RL00785,YI SUSHI BISTRO,6957 S STATE ST,SALT LAKE,801-365-1037,Restaurant,TRUE,40.62453603400007,-111.89020449399999
BC00180,HARLEY & BUCK'S CATERING,3900 N WOLFCREEK DR,WEBER,801-745-2060,Other,FALSE,41.32979983700005,-111.82407822099998
RE02076,GEORGE'S CORNER RESTAURANT,2 W ST GEORGE BLVD,WASHINGTON,435-216-7311,Restaurant,TRUE,37.109978555000055,-113.58360015399995
RL00720,MOAB GRILL,540 S MAIN,GRAND,435-259-4848,Restaurant,TRUE,38.56535906100004,-109.55022848199997
RL00825,MURDOCKS,4000 CANYONS RESORT DR,SUMMIT,435-649-5400,Restaurant,TRUE,40.684057186000075,-111.55369225999999
BC00181,THE BISTRO @ COURTYARD OGDEN,247 24TH STREET,WEBER,801-655-1998,Other,FALSE,41.22280305700008,-111.97562083999998
BE02347,VICTORY RANCH CLUB,7474 N VICTORY CLUB DR,SUMMIT,435-785-5020,Banquet / Event,FALSE,40.59844521600007,-111.30608457399995
RL00177,TONA,210 25TH STREET,WEBER,801-622-8662,Restaurant,TRUE,41.22075775700006,-111.97558051099998
CL00342,AMERICAN LEGION 134 (CLEARFIELD),345 S DEPOT ST,DAVIS,801-773-9419,Bar / Club,TRUE,41.109357997000075,-112.02488241099996
CL00522,A BEUFORD GIFFORD'S LIBATION EMPORIUM,190 W CENTER,UTAH,801-373-1200,Bar / Club,TRUE,40.23383760100006,-111.66195014199997
RB00263,DICKEY'S BARBEQUE PIT,1190 S SAGE DR,IRON,435-865-2716,Restaurant,FALSE,37.65610975100003,-113.08311040299998
RL00913,BRODY'S MEXICAN RESTAURANT,1166 SAGE DR #C,IRON,435-531-8773,Restaurant,TRUE,37.65717529500006,-113.08219970199997
BE02571,PARK CITY GOLF COURSE,1541 THAYNES CANYON DR,SUMMIT,435-615-5800,Banquet / Event,FALSE,40.66264206500006,-111.51429341799997
RE01707,GARCIA'S (BEST REST.),1075 N HILLFIELD RD,DAVIS,801-546-6390,Restaurant,TRUE,41.075730416000056,-111.97373570699995
RB00059,CHUBBY'S,955 N 1400 W,SALT LAKE,801-596-2070,Restaurant,FALSE,40.79057062600003,-111.93111625999995
BC00078,SWITCHBACK GRILLE & TRADING CO.,1149 ZION PARK BLVD,WASHINGTON,435-772-3700,Other,FALSE,37.182868445000054,-113.00388025899997
RE01350,CHILI'S (WEST JORDAN) #938,3629 W CTR PARK DR,SALT LAKE,801-282-2322,Restaurant,TRUE,40.619932669000036,-111.97717065999996
TV00224,SALOON,2912 N HWY 162,WEBER,801-430-7214,Bar / Club,TRUE,41.31127188100004,-111.83481341999999
RB00129,LOS 5 AMIGOS MEXICAN RESTAURANT,590 E 300 N,SEVIER,435-896-4999,Restaurant,FALSE,38.772244245000024,-112.07431872899997
RL00652,WING WAH RESTAURANT,465 E 12TH ST,WEBER,801-394-8788,Restaurant,TRUE,41.24427352400005,-111.96847093199995
RE01185,LOCO LIZARD CANTINA,1612 UTE BLVD,SUMMIT,435-645-7000,Restaurant,TRUE,40.72456792300005,-111.54240090299999
CL01091,MIMS BAR & GRILL,4020 W HWY 13,BOX ELDER,435-744-2206,Bar / Club,TRUE,41.57966127900005,-112.12967400499997
BE02082,HALL OF FAME GRILL,3300 W CLUBHOUSE DR,UTAH,801-768-7409,Banquet / Event,FALSE,40.430719140000065,-111.89963915299995
RE01633,CHILI'S (HARRISVILLE) #1164,286 E N ST,WEBER,801-782-1300,Restaurant,TRUE,41.26679616000007,-111.98293886199997
RE01487,OLD SPAGHETTI FACTORY (OREM),575 E UNIVERSITY PKWY,UTAH,503-225-0433,Restaurant,TRUE,40.273557907000054,-111.68164955199995
BE02339,BRYCE CANYON COUNTRY RODEO,115 E 100 N,GARFIELD,435-834-5341,Banquet / Event,FALSE,37.675785577000056,-112.15090611699998
CL00963,KEYS ON MAIN,242 S MAIN ST,SALT LAKE,801-363-3638,Bar / Club,TRUE,40.764122299000064,-111.89122386999998
CL01190,ESCALA PROVISIONS CO.,3551 ESCALA CT,SUMMIT,435-658-6100,Bar / Club,TRUE,40.68251672700006,-111.55701021999994
RL00907,PIZZA REV (5600 W),2927 S 5600 W #D E,SALT LAKE,801-532-5108,Restaurant,TRUE,40.707024739000076,-112.02485870499999
RL00767,SKEWERED THAI,575 S 700 E,SALT LAKE,801-824-3467,Restaurant,TRUE,40.75671899200006,-111.87103109399999
CL00938,GINO'S,3556 S STATE ST,SALT LAKE,801-268-1811,Bar / Club,TRUE,40.69378010500003,-111.88831705699994
RL00684,NICK'S GREEK CAFE,1600 SNOW CRK DR,SUMMIT,435-658-2267,Restaurant,TRUE,40.66190453400003,-111.51028219999995
RE01804,WILDCAT WILLIES RANCH GRILL & SALOON,897 ZION PARK BLVD,WASHINGTON,435-772-0115,Restaurant,TRUE,37.18877389000005,-112.99938635999996
RL00567,KATHMANDU,212 S 700 E STE C,SALT LAKE,801-466-3504,Restaurant,TRUE,40.764623278000045,-111.87110233199996
RB00183,RUBIO'S FRESH MEXICAN GRILL (SUGARHOUSE) #86,1160 E 2100 S,SALT LAKE,801-466-1220,Restaurant,FALSE,40.72537602700004,-111.85788556699998
RE02206,CARLOS AND HARLEY'S,5510 E 2200 N,WEBER,801-745-8226,Restaurant,TRUE,41.29893123800008,-111.81500353599995
RL00847,MEME'S CAFE,975 ZION PARK BLVD,WASHINGTON,435-772-0114,Restaurant,TRUE,37.18866327100005,-113.00007427199995
BE01999,MT. OGDEN GOLF COURSE,1787 CONSTITUTION WAY,WEBER,801-629-0699,Banquet / Event,FALSE,41.21059106900003,-111.93738549899996
RE01082,MANDARIN SZECHAUAN RESTAURANT,125 S MAIN,GRAND,435-259-8984,Restaurant,TRUE,38.57132673800004,-109.55075840199999
CL00922,SUMMIT LOUNGE,918 HERITAGE PARK BLVD,DAVIS,801-452-5887,Bar / Club,TRUE,41.083767581000075,-111.98255872899995
RE01483,PURPLE SAGE,434 MAIN,SUMMIT,435-655-9505,Restaurant,TRUE,40.64355675000007,-111.49576114499996
RL00698,BLACK PEARL ASIAN BISTRO & SUSHI BAR,2095 N MAIN BLDG A UNIT C,CACHE,435-750-0888,Restaurant,TRUE,41.77046742600004,-111.83415130399999
RL00600,TONY CAPUTO'S MARKET & DELI 15TH,1516 S 1500 E,SALT LAKE,801-486-6615,Restaurant,TRUE,40.73672234400004,-111.84798818599995
CL01285,SKYLINE BAR @ YARROW HOTEL,1800 PARK AVE,SUMMIT,,Bar / Club,TRUE,40.65967256400006,-111.50865863499996
RB00032,BANDANNAS GRILL @ HOTEL PARK CITY,2001 PARK AVENUE,SUMMIT,435-940-5000,Restaurant,FALSE,40.66234403900006,-111.512514652
RL00863,TAMARISK RESTAURANT,1710 E MAIN ST,EMERY,435-564-8109,Restaurant,TRUE,38.99326334400007,-110.14140712499994
RE02226,PROVISIONS RESTAURANT,3364 S 2300 E,SALT LAKE,801-410-4046,Restaurant,TRUE,40.69845145600004,-111.82454632399998
BE02540,FLAMINGO,1789 W 4160 S,SALT LAKE,801-867-1825,Banquet / Event,FALSE,40.68067290000005,-111.94072052899998
RB00278,TACOS DE MARCOS,1812 W SUNSET BLVD #5,WASHINGTON,435-215-6499,Restaurant,FALSE,37.12284839000006,-113.62198035699998
RB00114,LA FOUNTAIN (TOOELE),1501 N MAIN ST,TOOELE,435-882-3000,Restaurant,FALSE,40.558687752000026,-112.29692023799998
CL00619,CHUCKLE'S LOUNGE,221 W 900 SOUTH,SALT LAKE,801-532-1721,Bar / Club,TRUE,40.74974297600005,-111.89764016899994
BC00068,HILTON SALT LAKE CITY CENTER,255 S W TEMPLE,SALT LAKE,801-238-4800,Other,FALSE,40.76414073800004,-111.89393442999994
RE01921,RODIZIO GRILL (AMERICAN FORK),749 W 100 N SP,UTAH,801-706-4698,Restaurant,TRUE,40.37862368700007,-111.81935872599996
RL00884,"KOI CHINESE & JAPANESE CUISINE, LLC",1266 LEGEND HILLS DR,DAVIS,801-770-3151,Restaurant,TRUE,41.095851561000075,-111.99627664399998
RL00750,BRICK OVEN,1410 E ST GEORGE BLVD,WASHINGTON,435-628-5800,Restaurant,TRUE,37.10974348900004,-113.55426075399998
RE01050,APPLEBEE'S (W VALLEY CENTER),2175 W CITY CTR CT,SALT LAKE,801-532-5108,Restaurant,TRUE,40.69929377400007,-111.94805710699995
RL00925,LUCKY STAR CHINESE CUISINE,3361 S REDWOOD RD,SALT LAKE,801-972-3032,Restaurant,TRUE,40.699150891000045,-111.93891490299995
